timestamp,vessel_count,anchored_vessels,slow_vessels,avg_sog_knots,cargo_vessels,tanker_vessels,passenger_vessels,tug_vessels
2024-12-25T00:00:00+00:00,92,21,83,0.681522,10,8,3,12
2024-12-25T00:01:00+00:00,104,25,94,0.765385,12,6,6,16
2024-12-25T00:02:00+00:00,103,22,87,0.948039,8,7,7,15
2024-12-25T00:03:00+00:00,97,20,84,0.960825,9,9,6,15
2024-12-25T00:04:00+00:00,105,25,92,0.878095,12,6,6,16
2024-12-25T00:05:00+00:00,90,18,78,0.997778,7,7,6,15
2024-12-25T00:06:00+00:00,87,22,75,0.896552,10,10,3,10
2024-12-25T00:07:00+00:00,87,23,77,0.902299,12,4,5,11
2024-12-25T00:08:00+00:00,99,21,88,0.772449,9,7,5,15
2024-12-25T00:09:00+00:00,92,20,82,0.646739,9,7,6,15
2024-12-25T00:10:00+00:00,99,25,88,0.872727,12,6,6,16
2024-12-25T00:11:00+00:00,91,20,82,0.903297,8,6,5,11
2024-12-25T00:12:00+00:00,99,23,88,0.668687,11,10,6,13
2024-12-25T00:13:00+00:00,95,25,84,0.576842,12,6,5,14
2024-12-25T00:14:00+00:00,96,21,85,0.463158,9,6,6,13
2024-12-25T00:15:00+00:00,98,22,89,0.381633,9,8,5,14
2024-12-25T00:16:00+00:00,98,25,90,0.411224,10,6,6,14
2024-12-25T00:17:00+00:00,90,19,79,0.520225,8,6,6,13
2024-12-25T00:18:00+00:00,100,23,95,0.305000,11,10,4,14
2024-12-25T00:19:00+00:00,102,25,97,0.247059,12,5,6,14
2024-12-25T00:20:00+00:00,89,20,83,0.250562,8,6,6,13
2024-12-25T00:21:00+00:00,92,21,86,0.280435,9,10,5,14
2024-12-25T00:22:00+00:00,89,22,85,0.213483,11,5,6,13
2024-12-25T00:23:00+00:00,86,19,83,0.220930,9,5,3,13
2024-12-25T00:24:00+00:00,93,23,86,0.356989,11,9,5,14
2024-12-25T00:25:00+00:00,106,25,100,0.290566,12,5,6,16
2024-12-25T00:26:00+00:00,90,22,83,0.357303,10,6,5,14
2024-12-25T00:27:00+00:00,89,20,83,0.362921,8,10,5,12
2024-12-25T00:28:00+00:00,96,22,91,0.298958,10,5,6,14
2024-12-25T00:29:00+00:00,88,20,84,0.213793,9,6,6,11
2024-12-25T00:30:00+00:00,92,25,88,0.334783,12,9,4,13
2024-12-25T00:31:00+00:00,98,23,94,0.311224,10,4,6,15
2024-12-25T00:32:00+00:00,94,24,89,0.326882,10,6,7,15
2024-12-25T00:33:00+00:00,88,20,84,0.321591,10,9,5,13
2024-12-25T00:34:00+00:00,93,23,87,0.390323,12,5,4,14
2024-12-25T00:35:00+00:00,84,20,78,0.443373,8,5,6,13
2024-12-25T00:36:00+00:00,83,20,81,0.230120,11,8,4,11
2024-12-25T00:37:00+00:00,94,27,88,0.404255,12,5,5,15
2024-12-25T00:38:00+00:00,87,21,81,0.446512,9,4,7,14
2024-12-25T00:39:00+00:00,89,23,84,0.412360,11,9,5,15
2024-12-25T00:40:00+00:00,89,25,84,0.423596,12,5,6,15
2024-12-25T00:41:00+00:00,85,20,78,0.479762,8,5,5,13
2024-12-25T00:42:00+00:00,84,22,80,0.428571,12,8,4,13
2024-12-25T00:43:00+00:00,92,26,86,0.661957,11,5,7,13
2024-12-25T00:44:00+00:00,80,20,71,1.129114,9,5,6,13
2024-12-25T00:45:00+00:00,84,24,76,1.009639,12,7,3,13
2024-12-25T00:46:00+00:00,99,27,91,0.982828,11,5,7,15
2024-12-25T00:47:00+00:00,92,21,83,0.934066,10,5,6,15
2024-12-25T00:48:00+00:00,80,20,75,0.782500,11,8,5,14
2024-12-25T00:49:00+00:00,91,27,83,0.875824,12,5,6,14
2024-12-25T00:50:00+00:00,85,21,79,0.714286,9,5,5,11
2024-12-25T00:51:00+00:00,87,24,79,0.897701,11,8,2,13
2024-12-25T00:52:00+00:00,94,27,86,0.820213,11,5,8,14
2024-12-25T00:53:00+00:00,80,18,72,1.080000,7,5,4,14
2024-12-25T00:54:00+00:00,89,24,83,0.911236,12,7,4,15
2024-12-25T00:55:00+00:00,99,27,92,0.803030,12,5,6,15
